[2026-06-02 15:45:33,148] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-06-02 15:45:34,467] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-06-02 15:45:35,839] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-02 15:45:35,843] 107 dagshub - INFO - Accessing as Puneet1223
[2026-06-02 15:45:37,223] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Puneet1223/Network_Secuarity "HTTP/1.1 200 OK"
[2026-06-02 15:45:37,949] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-02 15:45:37,952] 107 dagshub - INFO - Initialized MLflow to track repo "Puneet1223/Network_Secuarity"
[2026-06-02 15:45:37,952] 107 dagshub - INFO - Repository Puneet1223/Network_Secuarity initialized!
[2026-06-02 15:45:37,953] 17 root - INFO - initiate the data ingestion
[2026-06-02 15:45:57,209] 66 root - INFO - Performed train test split on the dataframe
[2026-06-02 15:45:57,210] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-02 15:45:57,210] 76 root - INFO - Exporting train and test file path.
[2026-06-02 15:45:57,331] 85 root - INFO - Exported train and test file path.
[2026-06-02 15:45:57,333] 20 root - INFO - Data Initiation completed
[2026-06-02 15:45:57,341] 23 root - INFO - Initiate Data Validation
[2026-06-02 15:45:57,490] 34 root - INFO - Required number of columns:2
[2026-06-02 15:45:57,491] 35 root - INFO - Data frame has columns:31
[2026-06-02 15:45:57,491] 34 root - INFO - Required number of columns:2
[2026-06-02 15:45:57,491] 35 root - INFO - Data frame has columns:31
[2026-06-02 15:45:57,926] 26 root - INFO - data Validation Completed
[2026-06-02 15:45:57,927] 29 root - INFO - Data Transformation Started
[2026-06-02 15:45:57,927] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-02 15:45:57,927] 68 root - INFO - Starting data transformation
[2026-06-02 15:45:58,046] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-06-02 15:45:58,046] 56 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-02 15:45:58,081] 41 root - INFO - Entered the save_object method of MainUtils class
[2026-06-02 15:45:58,086] 45 root - INFO - Exited the save_object method of MainUtils class
[2026-06-02 15:45:58,086] 41 root - INFO - Entered the save_object method of MainUtils class
[2026-06-02 15:45:58,093] 45 root - INFO - Exited the save_object method of MainUtils class
[2026-06-02 15:45:58,094] 33 root - INFO - Data Transformation Completed
[2026-06-02 15:45:58,095] 35 root - INFO - Model Training stared
[2026-06-02 15:55:03,369] 41 root - INFO - Entered the save_object method of MainUtils class
[2026-06-02 15:55:03,370] 45 root - INFO - Exited the save_object method of MainUtils class
[2026-06-02 15:55:03,370] 41 root - INFO - Entered the save_object method of MainUtils class
[2026-06-02 15:55:03,416] 45 root - INFO - Exited the save_object method of MainUtils class
[2026-06-02 15:55:03,416] 131 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/06_02_2026_15_44_59/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914323152907973, precision_score=0.9887414555689585, recall_score=0.9941378613300991), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.968455551003687, precision_score=0.9601949634443542, recall_score=0.9768595041322314))
[2026-06-02 15:55:03,421] 40 root - INFO - Model Training artifact created
